"Distribution of disabled workers by sex, economic status and residence - 2011",,,,,,,,,,,
Table Name,State Code,State Name,Type of disability,Total/ Rural/ Urban,Sex,Workers,,,,,Non-workers
,,,,,,Total,CL,AL,HHI,Others,
DISAB04,00,INDIA,Total disabled population,Total,Persons," 	9,744,386 "," 	2,274,322 "," 	2,977,272 "," 	435,053 "," 	4,057,739 "," 	17,070,608 "
DISAB04,00,INDIA,Total disabled population,Total,Males," 	7,072,825 "," 	1,716,078 "," 	1,914,330 "," 	258,144 "," 	3,184,273 "," 	7,915,768 "
DISAB04,00,INDIA,Total disabled population,Total,Females," 	2,671,561 "," 	558,244 "," 	1,062,942 "," 	176,909 "," 	873,466 "," 	9,154,840 "
DISAB04,00,INDIA,Total disabled population,Rural,Persons," 	7,004,120 "," 	2,189,316 "," 	2,821,431 "," 	284,989 "," 	1,708,384 "," 	11,632,238 "
DISAB04,00,INDIA,Total disabled population,Rural,Males," 	4,912,012 "," 	1,651,397 "," 	1,803,405 "," 	160,314 "," 	1,296,896 "," 	5,498,547 "
DISAB04,00,INDIA,Total disabled population,Rural,Females," 	2,092,108 "," 	537,919 "," 	1,018,026 "," 	124,675 "," 	411,488 "," 	6,133,691 "
DISAB04,00,INDIA,Total disabled population,Urban,Persons," 	2,740,266 "," 	85,006 "," 	155,841 "," 	150,064 "," 	2,349,355 "," 	5,438,370 "
DISAB04,00,INDIA,Total disabled population,Urban,Males," 	2,160,813 "," 	64,681 "," 	110,925 "," 	97,830 "," 	1,887,377 "," 	2,417,221 "
DISAB04,00,INDIA,Total disabled population,Urban,Females," 	579,453 "," 	20,325 "," 	44,916 "," 	52,234 "," 	461,978 "," 	3,021,149 "
DISAB04,00,INDIA,In Seeing,Total,Persons," 	1,891,919 "," 	460,738 "," 	591,514 "," 	79,484 "," 	760,183 "," 	3,141,512 "
DISAB04,00,INDIA,In Seeing,Total,Males," 	1,346,034 "," 	340,895 "," 	367,073 "," 	46,014 "," 	592,052 "," 	1,292,994 "
