Table Name,State Code,State Name,Type of disability,Total/ Rural/ Urban,Sex,Total Workers,CL,AL,HHI,OW,Non-workers
DISAB04,00,INDIA,Total disabled population,Total,Persons," 	9,744,386 "," 	2,274,322 "," 	2,977,272 "," 	435,053 "," 	4,057,739 "," 	17,070,608 "
DISAB04,00,INDIA,Total disabled population,Total,Males," 	7,072,825 "," 	1,716,078 "," 	1,914,330 "," 	258,144 "," 	3,184,273 "," 	7,915,768 "
DISAB04,00,INDIA,Total disabled population,Total,Females," 	2,671,561 "," 	558,244 "," 	1,062,942 "," 	176,909 "," 	873,466 "," 	9,154,840 "
DISAB04,00,INDIA,Total disabled population,Rural,Persons," 	7,004,120 "," 	2,189,316 "," 	2,821,431 "," 	284,989 "," 	1,708,384 "," 	11,632,238 "
DISAB04,00,INDIA,Total disabled population,Rural,Males," 	4,912,012 "," 	1,651,397 "," 	1,803,405 "," 	160,314 "," 	1,296,896 "," 	5,498,547 "
DISAB04,00,INDIA,Total disabled population,Rural,Females," 	2,092,108 "," 	537,919 "," 	1,018,026 "," 	124,675 "," 	411,488 "," 	6,133,691 "
DISAB04,00,INDIA,Total disabled population,Urban,Persons," 	2,740,266 "," 	85,006 "," 	155,841 "," 	150,064 "," 	2,349,355 "," 	5,438,370 "
DISAB04,00,INDIA,Total disabled population,Urban,Males," 	2,160,813 "," 	64,681 "," 	110,925 "," 	97,830 "," 	1,887,377 "," 	2,417,221 "
DISAB04,00,INDIA,Total disabled population,Urban,Females," 	579,453 "," 	20,325 "," 	44,916 "," 	52,234 "," 	461,978 "," 	3,021,149 "
DISAB04,00,INDIA,In Seeing,Total,Persons," 	1,891,919 "," 	460,738 "," 	591,514 "," 	79,484 "," 	760,183 "," 	3,141,512 "
DISAB04,00,INDIA,In Seeing,Total,Males," 	1,346,034 "," 	340,895 "," 	367,073 "," 	46,014 "," 	592,052 "," 	1,292,994 "
DISAB04,00,INDIA,In Seeing,Total,Females," 	545,885 "," 	119,843 "," 	224,441 "," 	33,470 "," 	168,131 "," 	1,848,518 "
DISAB04,00,INDIA,In Seeing,Rural,Persons," 	1,352,621 "," 	441,617 "," 	562,990 "," 	51,706 "," 	296,308 "," 	2,150,937 "
DISAB04,00,INDIA,In Seeing,Rural,Males," 	921,956 "," 	327,346 "," 	347,118 "," 	27,883 "," 	219,609 "," 	899,492 "
DISAB04,00,INDIA,In Seeing,Rural,Females," 	430,665 "," 	114,271 "," 	215,872 "," 	23,823 "," 	76,699 "," 	1,251,445 "
DISAB04,00,INDIA,In Seeing,Urban,Persons," 	539,298 "," 	19,121 "," 	28,524 "," 	27,778 "," 	463,875 "," 	990,575 "
DISAB04,00,INDIA,In Seeing,Urban,Males," 	424,078 "," 	13,549 "," 	19,955 "," 	18,131 "," 	372,443 "," 	393,502 "
DISAB04,00,INDIA,In Seeing,Urban,Females," 	115,220 "," 	5,572 "," 	8,569 "," 	9,647 "," 	91,432 "," 	597,073 "
DISAB04,00,INDIA,In Hearing,Total,Persons," 	2,062,058 "," 	483,854 "," 	622,084 "," 	101,383 "," 	854,737 "," 	3,010,856 "
DISAB04,00,INDIA,In Hearing,Total,Males," 	1,444,083 "," 	356,953 "," 	379,409 "," 	55,806 "," 	651,915 "," 	1,234,501 "
DISAB04,00,INDIA,In Hearing,Total,Females," 	617,975 "," 	126,901 "," 	242,675 "," 	45,577 "," 	202,822 "," 	1,776,355 "
DISAB04,00,INDIA,In Hearing,Rural,Persons," 	1,443,251 "," 	464,719 "," 	587,026 "," 	65,602 "," 	325,904 "," 	1,950,477 "
DISAB04,00,INDIA,In Hearing,Rural,Males," 	966,542 "," 	342,704 "," 	355,231 "," 	33,414 "," 	235,193 "," 	817,884 "
DISAB04,00,INDIA,In Hearing,Rural,Females," 	476,709 "," 	122,015 "," 	231,795 "," 	32,188 "," 	90,711 "," 	1,132,593 "
